Time, Global Time,Voltage
µsec, lmao,V
110511919,0/0/0_0:0:0.0,128
111521919,0/0/0_0:0:0.0,128
112531933,0/0/0_0:0:0.0,128
113541932,0/0/0_0:0:0.0,128
114551921,0/0/0_0:0:0.0,128
115561919,0/0/0_0:0:0.0,128
116571933,0/0/0_0:0:0.0,128
117581919,0/0/0_0:0:0.0,128
118591937,0/0/0_0:0:0.0,128
119601935,0/0/0_0:0:0.0,128
120611917,0/0/0_0:0:0.0,128
121621933,0/0/0_0:0:0.0,128
122631934,0/0/0_0:0:0.0,128
123641935,0/0/0_0:0:0.0,128
124651919,0/0/0_0:0:0.0,128
125661935,0/0/0_0:0:0.0,128
126671937,0/0/0_0:0:0.0,128
127681930,0/0/0_0:0:0.0,128
128691930,0/0/0_0:0:0.0,128
129701931,0/0/0_0:0:0.0,128
130711917,0/0/0_0:0:0.0,128
131721935,0/0/0_0:0:0.0,128
132727542,0/0/0_0:0:0.0,128
133741926,0/0/0_0:0:0.0,128
134751934,0/0/0_0:0:0.0,128
135761932,0/0/0_0:0:0.0,128
136771922,0/0/0_0:0:0.0,128
137781935,0/0/0_0:0:0.0,128
138791935,0/0/0_0:0:0.0,129
139801933,0/0/0_0:0:0.0,128
140811927,0/0/0_0:0:0.0,128
141821935,0/0/0_0:0:0.0,128
142831933,0/0/0_0:0:0.0,127
143841917,0/0/0_0:0:0.0,127
144851938,0/0/0_0:0:0.0,127
145861930,0/0/0_0:0:0.0,127
146871935,0/0/0_0:0:0.0,127
147881919,0/0/0_0:0:0.0,127
148891933,0/0/0_0:0:0.0,127
149901933,0/0/0_0:0:0.0,127
150911932,0/0/0_0:0:0.0,127
151921935,0/0/0_0:0:0.0,127
152931917,0/0/0_0:0:0.0,127
153941930,0/0/0_0:0:0.0,127
155031935,0/0/0_0:0:0.0,127
156041918,0/0/0_0:0:0.0,127
157051933,0/0/0_0:0:0.0,127
158061933,0/0/0_0:0:0.0,127
159071917,0/0/0_0:0:0.0,127
160081933,0/0/0_0:0:0.0,127
161091918,0/0/0_0:0:0.0,127
162101919,0/0/0_0:0:0.0,127
163111935,0/0/0_0:0:0.0,127
164121919,0/0/0_0:0:0.0,127
165131936,0/0/0_0:0:0.0,127
166141935,0/0/0_0:0:0.0,127
167151919,0/0/0_0:0:0.0,127
168161919,0/0/0_0:0:0.0,127
169171933,0/0/0_0:0:0.0,127
170181935,0/0/0_0:0:0.0,127
171191917,0/0/0_0:0:0.0,127
172201933,0/0/0_0:0:0.0,127
173211933,0/0/0_0:0:0.0,127
174221922,0/0/0_0:0:0.0,127
175231919,0/0/0_0:0:0.0,127
176237410,0/0/0_0:0:0.0,127
177251930,0/0/0_0:0:0.0,127
178261918,0/0/0_0:0:0.0,127
179271917,0/0/0_0:0:0.0,127
180281935,0/0/0_0:0:0.0,127
181291935,0/0/0_0:0:0.0,127
182361917,0/0/0_0:0:0.0,127
183531933,0/0/0_0:0:0.0,127
184541919,0/0/0_0:0:0.0,127
185551919,0/0/0_0:0:0.0,127
186561935,0/0/0_0:0:0.0,127
187571935,0/0/0_0:0:0.0,127
188581917,0/0/0_0:0:0.0,127
189591933,0/0/0_0:0:0.0,127
190601930,0/0/0_0:0:0.0,127
191611935,0/0/0_0:0:0.0,127
192621935,0/0/0_0:0:0.0,127
193631932,0/0/0_0:0:0.0,127
194641937,0/0/0_0:0:0.0,127
195651935,0/0/0_0:0:0.0,127
196661933,0/0/0_0:0:0.0,127
197671919,0/0/0_0:0:0.0,127
198681938,0/0/0_0:0:0.0,127
199691937,0/0/0_0:0:0.0,127
200701933,0/0/0_0:0:0.0,127
201711932,0/0/0_0:0:0.0,127
202721917,0/0/0_0:0:0.0,127
203731928,0/0/0_0:0:0.0,127
204741930,0/0/0_0:0:0.0,127
205751919,0/0/0_0:0:0.0,127
206761919,0/0/0_0:0:0.0,127
207771938,0/0/0_0:0:0.0,127
208781919,0/0/0_0:0:0.0,127
209791919,0/0/0_0:0:0.0,127
210801933,0/0/0_0:0:0.0,127
211811917,0/0/0_0:0:0.0,127
212821935,0/0/0_0:0:0.0,127
213831930,0/0/0_0:0:0.0,127
214841917,0/0/0_0:0:0.0,127
215851935,0/0/0_0:0:0.0,127
216861933,0/0/0_0:0:0.0,127
217871933,0/0/0_0:0:0.0,127
218881935,0/0/0_0:0:0.0,127
219891933,0/0/0_0:0:0.0,127
220901917,0/0/0_0:0:0.0,127
221911924,0/0/0_0:0:0.0,127
222921935,0/0/0_0:0:0.0,127
223941917,0/0/0_0:0:0.0,127
224951935,0/0/0_0:0:0.0,127
225961921,0/0/0_0:0:0.0,126
226971924,0/0/0_0:0:0.0,126
227981933,0/0/0_0:0:0.0,126
228991919,0/0/0_0:0:0.0,124
230001934,0/0/0_0:0:0.0,108
231011918,0/0/0_0:0:0.0,121
232021935,0/0/0_0:0:0.0,122
233031933,0/0/0_0:0:0.0,123
234041935,0/0/0_0:0:0.0,123
235051919,0/0/0_0:0:0.0,124
236061916,0/0/0_0:0:0.0,124
237071922,0/0/0_0:0:0.0,124
238081933,0/0/0_0:0:0.0,124
239091924,0/0/0_0:0:0.0,124
240101931,0/0/0_0:0:0.0,125
241111937,0/0/0_0:0:0.0,124
242121935,0/0/0_0:0:0.0,124
243131935,0/0/0_0:0:0.0,123
244141918,0/0/0_0:0:0.0,125
245151922,0/0/0_0:0:0.0,125
246161934,0/0/0_0:0:0.0,125
247171933,0/0/0_0:0:0.0,125
248181933,0/0/0_0:0:0.0,124
249191935,0/0/0_0:0:0.0,124
250201935,0/0/0_0:0:0.0,125
251211943,0/0/0_0:0:0.0,125
252221930,0/0/0_0:0:0.0,125
253231932,0/0/0_0:0:0.0,125
254241914,0/0/0_0:0:0.0,125
255251920,0/0/0_0:0:0.0,125
256261926,0/0/0_0:0:0.0,125
257271933,0/0/0_0:0:0.0,125
258281926,0/0/0_0:0:0.0,125
259291935,0/0/0_0:0:0.0,125
260301926,0/0/0_0:0:0.0,125
261311926,0/0/0_0:0:0.0,126
262321924,0/0/0_0:0:0.0,125
263331933,0/0/0_0:0:0.0,125
264341934,0/0/0_0:0:0.0,126
265400261,0/0/0_0:0:0.0,125
266811935,0/0/0_0:0:0.0,125
267821933,0/0/0_0:0:0.0,126
268831926,0/0/0_0:0:0.0,126
269841926,0/0/0_0:0:0.0,125
270851937,0/0/0_0:0:0.0,125
271861940,0/0/0_0:0:0.0,125
272871927,0/0/0_0:0:0.0,125
273881924,0/0/0_0:0:0.0,126
274891918,0/0/0_0:0:0.0,126
275901935,0/0/0_0:0:0.0,125
276911926,0/0/0_0:0:0.0,126
277921930,0/0/0_0:0:0.0,126
278931934,0/0/0_0:0:0.0,126
279941932,0/0/0_0:0:0.0,126
280951924,0/0/0_0:0:0.0,125
281961935,0/0/0_0:0:0.0,125
282971935,0/0/0_0:0:0.0,125
283981932,0/0/0_0:0:0.0,125
284991938,0/0/0_0:0:0.0,125
286001935,0/0/0_0:0:0.0,125
287011937,0/0/0_0:0:0.0,126
288021937,0/0/0_0:0:0.0,125
289031936,0/0/0_0:0:0.0,125
290041935,0/0/0_0:0:0.0,125
291051927,0/0/0_0:0:0.0,126
292061925,0/0/0_0:0:0.0,126
293071933,0/0/0_0:0:0.0,126
294081932,0/0/0_0:0:0.0,125
295091922,0/0/0_0:0:0.0,126
296101935,0/0/0_0:0:0.0,126
297111937,0/0/0_0:0:0.0,126
298121925,0/0/0_0:0:0.0,126
299131924,0/0/0_0:0:0.0,126
300141933,0/0/0_0:0:0.0,126
301151935,0/0/0_0:0:0.0,126
302161935,0/0/0_0:0:0.0,126
303171935,0/0/0_0:0:0.0,126
304181937,0/0/0_0:0:0.0,126
305191924,0/0/0_0:0:0.0,126
306231918,0/0/0_0:0:0.0,126
307261924,0/0/0_0:0:0.0,126
308331918,0/0/0_0:0:0.0,126
309351926,0/0/0_0:0:0.0,126
310361937,0/0/0_0:0:0.0,127
311371929,0/0/0_0:0:0.0,126
312381925,0/0/0_0:0:0.0,126
