Time,GLOBAL time,Water Temperature,Oil Temperature,num sats
98641476,11/10/24_11:36:34.584,1565,1757,184549376
99641475,11/10/24_11:36:35.584,1566,1757,201326592
100641475,11/10/24_11:36:36.584,1565,1756,184549376
101641475,11/10/24_11:36:37.584,1565,1757,201326592
102642474,11/10/24_11:36:38.584,1566,1757,201326592
103650799,11/10/24_11:36:39.604,1566,1756,201326592
104650473,11/10/24_11:36:40.584,1567,1756,184549376
105650475,11/10/24_11:36:41.584,1567,1757,184549376
106650475,11/10/24_11:36:42.604,1567,1756,201326592
107650475,11/10/24_11:36:43.604,1567,1755,184549376
108650475,11/10/24_11:36:44.604,1568,1755,184549376
109660135,11/10/24_11:36:45.604,1568,1755,184549376
110659478,11/10/24_11:36:46.604,1569,1754,184549376
111659477,11/10/24_11:36:47.604,1568,1754,201326592
112660476,11/10/24_11:36:48.604,1568,1754,201326592
113660475,11/10/24_11:36:49.604,1569,1754,201326592
114660477,11/10/24_11:36:50.604,1569,1754,201326592
115668921,11/10/24_11:36:51.624,1569,1754,201326592
116668476,11/10/24_11:36:52.604,1569,1753,201326592
117668480,11/10/24_11:36:53.604,1569,1753,201326592
118668478,11/10/24_11:36:54.604,1569,1753,201326592
119668479,11/10/24_11:36:55.604,1569,1753,201326592
120669473,11/10/24_11:36:56.604,1569,1752,201326592
121677723,11/10/24_11:36:57.624,1569,1752,201326592
122677478,11/10/24_11:36:58.624,1569,1751,201326592
123677478,11/10/24_11:36:59.624,1569,1751,201326592
124677475,11/10/24_11:37:0.624,1569,1751,201326592
125677475,11/10/24_11:37:1.624,1568,1751,201326592
126677479,11/10/24_11:37:2.624,1568,1751,201326592
127682137,11/10/24_11:37:3.624,1568,1750,201326592
128681477,11/10/24_11:37:4.624,1567,1750,201326592
129681477,11/10/24_11:37:5.624,1568,1749,184549376
130682479,11/10/24_11:37:6.624,1567,1749,201326592
131682475,11/10/24_11:37:7.624,1568,1749,201326592
132682478,11/10/24_11:37:8.624,1567,1749,201326592
133686482,11/10/24_11:37:9.624,1567,1748,201326592
134686478,11/10/24_11:37:10.624,1566,1748,201326592
135686476,11/10/24_11:37:11.624,1566,1747,201326592
136686476,11/10/24_11:37:12.624,1565,1747,184549376
137686476,11/10/24_11:37:13.624,1566,1747,184549376
138686479,11/10/24_11:37:14.623,1565,1746,201326592
139694668,11/10/24_11:37:15.643,1564,1746,201326592
140694475,11/10/24_11:37:16.643,1564,1745,184549376
141694476,11/10/24_11:37:17.643,1563,1745,184549376
142695476,11/10/24_11:37:18.643,1563,1745,184549376
143695475,11/10/24_11:37:19.643,1563,1744,184549376
144695476,11/10/24_11:37:20.643,1562,1743,184549376
145703827,11/10/24_11:37:21.643,1562,1743,184549376
146703477,11/10/24_11:37:22.643,1561,1743,184549376
147703471,11/10/24_11:37:23.643,1561,1743,201326592
148703472,11/10/24_11:37:24.643,1560,1742,201326592
149703472,11/10/24_11:37:25.643,1560,1742,201326592
150704472,11/10/24_11:37:26.623,1560,1741,184549376
151713263,11/10/24_11:37:27.664,1559,1741,184549376
152712480,11/10/24_11:37:28.664,1558,1741,184549376
153712476,11/10/24_11:37:29.664,1558,1740,184549376
154712475,11/10/24_11:37:30.664,1557,1740,201326592
155712483,11/10/24_11:37:31.664,1557,1739,201326592
156712477,11/10/24_11:37:32.664,1556,1738,201326592
157720686,11/10/24_11:37:33.664,1555,1738,201326592
158720476,11/10/24_11:37:34.664,1555,1738,201326592
159720476,11/10/24_11:37:35.664,1555,1738,184549376
160721477,11/10/24_11:37:36.664,1553,1737,201326592
161721476,11/10/24_11:37:37.664,1553,1736,201326592
162721476,11/10/24_11:37:38.664,1552,1736,184549376
163729410,11/10/24_11:37:39.684,1551,1735,201326592
164729471,11/10/24_11:37:40.664,1549,1735,201326592
165729476,11/10/24_11:37:41.664,1550,1735,201326592
166729473,11/10/24_11:37:42.684,1549,1734,201326592
167729476,11/10/24_11:37:43.684,1548,1734,201326592
168729476,11/10/24_11:37:44.684,1547,1733,201326592
169734630,11/10/24_11:37:45.684,1546,1733,201326592
170734481,11/10/24_11:37:46.684,1545,1733,201326592
171734475,11/10/24_11:37:47.684,1545,1733,201326592
172734476,11/10/24_11:37:48.684,1544,1732,201326592
173734475,11/10/24_11:37:49.684,1543,1731,201326592
174734477,11/10/24_11:37:50.684,1542,1731,201326592
175742862,11/10/24_11:37:51.684,1541,1731,201326592
176742475,11/10/24_11:37:52.684,1541,1729,201326592
177742475,11/10/24_11:37:53.684,1540,1729,201326592
178742472,11/10/24_11:37:54.684,1539,1722,201326592
179742473,11/10/24_11:37:55.684,1541,1708,184549376
180743472,11/10/24_11:37:56.684,1547,1692,201326592
181751919,11/10/24_11:37:57.704,1559,1677,201326592
182751477,11/10/24_11:37:58.704,1573,1663,201326592
183751496,11/10/24_11:37:59.704,1587,1649,201326592
184754476,11/10/24_11:38:0.704,1601,1638,201326592
185754482,11/10/24_11:38:1.704,1611,1629,201326592
186754480,11/10/24_11:38:2.704,1620,1621,201326592
187762779,11/10/24_11:38:3.704,1626,1614,201326592
188762482,11/10/24_11:38:4.704,1630,1610,201326592
189762476,11/10/24_11:38:5.704,1633,1605,201326592
190763482,11/10/24_11:38:6.704,1634,1602,201326592
191763477,11/10/24_11:38:7.704,1632,1599,201326592
192763477,11/10/24_11:38:8.704,1630,1597,201326592
193771412,11/10/24_11:38:9.724,1626,1595,201326592
194771480,11/10/24_11:38:10.724,1622,1593,201326592
195771477,11/10/24_11:38:11.724,1617,1592,184549376
196771475,11/10/24_11:38:12.724,1613,1591,184549376
197771476,11/10/24_11:38:13.724,1609,1590,201326592
198771476,11/10/24_11:38:14.724,1606,1590,201326592
199781561,11/10/24_11:38:15.724,1605,1590,201326592
200781476,11/10/24_11:38:16.724,1605,1590,201326592
201781476,11/10/24_11:38:17.724,1605,1591,201326592
202781477,11/10/24_11:38:18.724,1607,1593,201326592
203781471,11/10/24_11:38:19.724,1610,1595,201326592
204789482,11/10/24_11:38:20.724,1612,1597,201326592
205811641,11/10/24_11:38:21.764,1615,1599,201326592
206811476,11/10/24_11:38:22.764,1618,1602,201326592
207811476,11/10/24_11:38:23.765,1621,1605,184549376
208819476,11/10/24_11:38:24.765,1624,1609,201326592
209819479,11/10/24_11:38:25.765,1626,1612,184549376
210824483,11/10/24_11:38:26.765,1628,1616,184549376
211832783,11/10/24_11:38:27.745,1629,1620,184549376
212832476,11/10/24_11:38:28.725,1630,1625,184549376
213832475,11/10/24_11:38:29.785,1631,1628,184549376
214832476,11/10/24_11:38:30.785,1632,1633,184549376
215832475,11/10/24_11:38:31.785,1632,1634,201326592
216832475,11/10/24_11:38:32.785,1632,1637,201326592
217840604,11/10/24_11:38:33.785,1633,1639,201326592
218840483,11/10/24_11:38:34.785,1633,1640,201326592
219840477,11/10/24_11:38:35.765,1634,1641,201326592
220841480,11/10/24_11:38:36.785,1635,1642,184549376
221841477,11/10/24_11:38:37.785,1634,1641,201326592
222841472,11/10/24_11:38:38.785,1635,1641,201326592
223850047,11/10/24_11:38:39.805,1636,1641,201326592
224849483,11/10/24_11:38:40.785,1637,1642,201326592
225849482,11/10/24_11:38:41.785,1638,1641,201326592
226849482,11/10/24_11:38:42.785,1639,1641,201326592
227849476,11/10/24_11:38:43.785,1640,1640,201326592
228849479,11/10/24_11:38:44.785,1641,1639,201326592
229854467,11/10/24_11:38:45.805,1642,1639,201326592
230854478,11/10/24_11:38:46.785,1642,1637,201326592
231854475,11/10/24_11:38:47.805,1643,1637,201326592
232854475,11/10/24_11:38:48.805,1643,1636,201326592
233854479,11/10/24_11:38:49.805,1644,1635,201326592
234854478,11/10/24_11:38:50.805,1645,1634,201326592
235862419,11/10/24_11:38:51.805,1645,1635,201326592
236862476,11/10/24_11:38:52.805,1646,1633,201326592
237862475,11/10/24_11:38:53.805,1646,1633,201326592
238862471,11/10/24_11:38:54.785,1646,1632,201326592
239862477,11/10/24_11:38:55.805,1648,1632,201326592
240863475,11/10/24_11:38:56.805,1648,1631,201326592
241871919,11/10/24_11:38:57.825,1648,1631,201326592
242871475,11/10/24_11:38:58.824,1649,1630,201326592
243871475,11/10/24_11:38:59.784,1650,1630,201326592
244871475,11/10/24_11:39:0.824,1650,1630,201326592
245871477,11/10/24_11:39:1.824,1650,1629,201326592
246871475,11/10/24_11:39:2.824,1650,1629,201326592
247879547,11/10/24_11:39:3.824,1652,1629,201326592
248879475,11/10/24_11:39:4.824,1652,1628,184549376
249879480,11/10/24_11:39:5.824,1652,1628,184549376
250880479,11/10/24_11:39:6.824,1653,1628,201326592
251880480,11/10/24_11:39:7.784,1653,1627,201326592
252880478,11/10/24_11:39:8.824,1653,1627,201326592
253884475,11/10/24_11:39:9.824,1654,1628,201326592
254884472,11/10/24_11:39:10.804,1655,1627,201326592
255884473,11/10/24_11:39:11.804,1655,1628,201326592
256884480,11/10/24_11:39:12.784,1656,1628,201326592
257884477,11/10/24_11:39:13.824,1656,1627,201326592
258884477,11/10/24_11:39:14.824,1657,1628,201326592
259893582,11/10/24_11:39:15.844,1657,1628,201326592
260893476,11/10/24_11:39:16.844,1657,1627,201326592
261893479,11/10/24_11:39:17.844,1658,1627,201326592
262893476,11/10/24_11:39:18.844,1659,1628,201326592
263893475,11/10/24_11:39:19.844,1659,1628,201326592
264893471,11/10/24_11:39:20.825,1660,1628,201326592
265901566,11/10/24_11:39:21.845,1660,1628,201326592
266901487,11/10/24_11:39:22.845,1661,1627,201326592
267901476,11/10/24_11:39:23.845,1661,1628,201326592
268901475,11/10/24_11:39:24.845,1662,1628,201326592
269901478,11/10/24_11:39:25.845,1663,1628,201326592
270902482,11/10/24_11:39:26.845,1663,1628,201326592
